,CZ_tokens
the,437
of,335
and,212
jazyk,157
in,154
dat,132
česk,131
překlad,122
for,94
is,80
korpus,74
we,73
text,73
stroj,66
this,65
model,62
vět,60
analýz,59
with,59
slovník,58
zdroj,58
výsledk,54
syst,54
automatick,53
sys,51
czech,51
anglick,50
are,49
systém,48
metod,45
syntaktick,44
vztah,43
závislostn,43
nástroj,41
význam,40
prák,40
úloh,40
představujem,39
cíl,39
as,37
translation,37
parser,37
valenčn,36
výzkum,36
popisuj,36
anotak,35
založen,35
základ,34
dialog,33
treebank,33
sémantick,32
sad,32
that,31
from,31
rámk,31
valenc,30
použit,30
task,30
rozpoznáván,30
an,28
oblast,28
sloves,28
obsahuj,27
popis,27
typ,27
histor,27
projekt,27
be,27
základn,26
zpracován,26
domén,26
oral,26
závislost,26
mach,26
slov,25
představuj,25
struktur,25
popisujem,25
různ,25
morfologick,24
strom,24
pomoc,24
lingvistick,24
our,24
chyb,24
dostupn,23
dotaz,23
řek,23
different,23
languag,23
slovesn,23
it,23
parsing,22
verbs,22
kontext,22
paper,22
anotačn,22
slo,22
form,22
jednotliv,21
přirozen,21
druh,21
informak,21
využit,21
výraz,21
přednášk,20
nov,20
učen,20
anotovan,20
histori,20
pdt,20
present,20
softwar,19
statistick,19
substantiv,19
which,19
english,19
als,19
hodnocen,19
experiment,19
nouns,19
extrakk,19
několik,19
ručn,19
vlastnost,18
uživatel,18
příspěvk,18
universal,18
kvalit,18
entit,18
ukazuj,18
paraleln,18
přístup,18
mt,18
studi,17
navržen,17
způsob,17
syntax,17
thes,17
lexikáln,17
can,17
reprezentak,17
search,17
možn,16
verh,16
linguistic,16
zejmén,16
analysis,16
their,16
diskurzn,16
langua,16
dan,16
těcht,16
naš,16
archiv,16
but,16
senten,16
specifick,15
výstup,15
vývoj,15
nlp,15
between,15
evaluation,15
dependenk,15
případ,15
část,15
doplněn,15
http,15
dependenc,15
dvo,15
rys,14
informac,14
propojen,14
jev,14
research,14
meaning,14
styl,14
wer,14
systems,14
komponent,14
kald,14
příspěvek,14
work,14
trénován,14
příklad,14
pravidl,13
zachycen,13
umožňuj,13
vyhledáván,13
its,13
někter,13
predikát,13
zabýv,13
postoj,13
hlavn,13
et,13
datov,13
argument,13
konektor,13
dokument,13
pražsk,13
two,13
zároveň,13
valenk,13
kombinak,13
prezentak,12
koreferenk,12
víceslovn,12
method,12
information,12
collectiv,12
aplikak,12
formát,12
test,12
funkčn,12
clar,12
univerzáln,12
segment,12
mnoh,12
použív,12
schém,12
memor,12
úspěšnost,12
kter,12
emocionáln,12
specific,12
čast,12
not,12
slovn,12
možnost,12
ty,12
fráz,12
navrhujem,12
identit,12
mezijazyk,12
new,11
pražs,11
pro,11
hloubk,11
coreferenk,11
přehled,11
zaměřujem,11
thre,11
prostředk,11
them,11
based,11
užit,11
formáln,11
or,11
was,11
slovosled,11
sít,11
stav,11
vallex,11
corp,11
vytvořen,11
tagger,11
hav,11
structur,11
int,11
onl,11
recogniser,11
řešen,11
forms,11
participant,10
repozitář,10
současn,10
recognition,10
všechn,10
referenk,10
společn,10
rovněž,10
hledisk,10
dosahuj,10
dialogu,10
annotation,10
spe,10
web,10
stud,10
googl,10
teoretick,10
kategori,10
výzkumn,10
počítač,10
čes,10
featu,10
modern,10
přím,10
vyjádřen,10
morphological,10
anotac,10
nezávisl,10
předev,10
princip,10
aspekt,10
description,10
word,10
tj,10
natrénovan,10
větn,10
stejn,10
lexical,10
som,10
using,10
oráln,10
participants,10
rovin,9
komplexn,9
licenc,9
such,9
mo,9
tectomt,9
used,9
agent,9
onlin,9
dictionar,9
výběr,9
obecn,9
infrastruktur,9
účel,9
rozbor,9
využi,9
představen,9
skript,9
cel,9
point,9
přináš,9
lingvistik,9
view,9
problém,9
součást,9
standardn,9
however,9
syntactic,9
social,9
korp,9
vario,9
results,9
manuáln,9
technologi,9
ukazujem,9
prezentujem,9
use,9
been,9
vizuáln,9
usc,9
vel,9
pcedt,9
představil,9
němk,9
povrch,9
rol,9
lze,9
each,9
tém,9
technick,9
aktuáln,9
soutěh,8
verb,8
voln,8
aktant,8
zaměřím,8
prv,8
vědeck,8
trénovac,8
vyvinut,8
primárn,8
veřejn,8
vybran,8
sekundárn,8
platform,8
konkrétn,8
teori,8
grammatical,8
shoah,8
obor,8
gramatick,8
hyperlinking,8
foundation,8
czengvallex,8
vylepšen,8
dispozik,8
typick,8
testován,8
spojen,8
sa,8
podrobn,8
následn,8
definován,8
využív,8
kolektivn,8
ud,8
similar,8
detekk,8
poskytuj,8
formalism,8
one,8
získan,8
prostřed,8
