,ID,EN,CZ,EN_tokens,CZ_tokens
0,0,"Part-of-speech (POS) tagging is sometimes considered an almost solved problem in NLP. Standard supervised approaches often reach accuracy above 95% if sufficiently large hand-labeled training data are available (typically several hundred thousand tokens or more). However, we still believe that it makes sense to study semi-supervised and unsupervised approaches.","Značkování slovními druhy (POS tagging) se v počítačovém zpracování přirozeného jazyka někdy považuje za téměř vyřešený problém. Standardní řízené přístupy často dosahují úspěšnosti přes 95 %, pokud je k dispozici dostatek ručně anotovaných trénovacích dat (typicky několik set tisíc tokenů nebo více). My si nicméně myslíme, že je stále užitečné studovat polořízené a neřízené přístupy.","['po', 'tag', 'sometim', 'consid', 'almost', 'solv', 'problem', 'nlp', 'standard', 'supervis', 'approach', 'often', 'reach', 'accuraci', 'suffici', 'larg', 'train', 'data', 'avail', 'typic', 'sever', 'hundr', 'thousand', 'token', 'howev', 'still', 'believ', 'make', 'sens', 'studi', 'unsupervis', 'approach']","['značkován', 'slovn', 'druh', 'pos', 'tagging', 'počítačo', 'zpracován', 'přirozen', 'jazyk', 'někd', 'považuj', 'téměř', 'vyřešen', 'prob', 'standardn', 'řízen', 'přístup', 'čast', 'dosahuj', 'úspěšnost', 'dispozik', 'dostatek', 'ručn', 'anotovan', 'trénovac', 'dat', 'typick', 'několik', 'set', 'token', 'nicmén', 'myslím', 'stál', 'užitečn', 'stud', 'polořízen', 'neřízen', 'přístup']"
1,1,"Sentiment analysis or automatic extraction of subjective opinions from a written texts is currently one of the major topics in NLP. In this talk, I will introduce the state-of-the-art methods and approaches to sentiment analysis on Czech data.","Sentiment analysis neboli automatická extrakce subjektivních názorů z textu je v současnosti jedním z hlavních témat počítačového zpracovávání přirozeného jazyka. V příspěvku bude shrnut současný stav bádání v této oblasti na českých datech. Obšírněji představím základní metody vytěžování emocí z textu, datové zdroje pro češtinu i specifika českých dat a přiblížím konkrétní aplikace a use cases např. z oblasti internetového marketingu, monitoringu sociálních sítí apod.","['sentiment', 'analysi', 'automat', 'extract', 'subject', 'opinion', 'written', 'text', 'current', 'one', 'major', 'topic', 'nlp', 'talk', 'introduc', 'method', 'approach', 'sentiment', 'analysi', 'czech', 'data']","['sentiment', 'analysis', 'nebol', 'automatick', 'extrakk', 'subjektivn', 'názor', 'text', 'současnost', 'jed', 'hlavn', 'tém', 'počítač', 'zpracováván', 'přirozen', 'jazyk', 'příspěvk', 'shrnut', 'současn', 'stav', 'bádán', 'oblast', 'česk', 'dat', 'obšírněj', 'předsta', 'základn', 'metod', 'vytěžován', 'emoc', 'text', 'dat', 'zdroj', 'česk', 'specifik', 'česk', 'dat', 'přiblí', 'konkrétn', 'aplikak', 'use', 'ca', 'oblast', 'internet', 'marketing', 'monitoring', 'sociáln', 'sít', 'apod']"
2,2,"Ignite talk on automatic detection of emotions, basic approaches, data resources overview.","Ignite talk na téma automatické detekce emocí, základní přístupy a datové zdroje.","['ignit', 'talk', 'automat', 'detect', 'emot', 'basic', 'approach', 'data', 'resourc', 'overview']","['ignit', 'talk', 'tém', 'automatick', 'detekk', 'emoc', 'základn', 'přístup', 'dat', 'zdroj']"
3,3,"If well trained, computers can count emotions in texts. Is that so? And what about irony?","Pokud mají dostatek trénovacích dat, umějí stroje rozpoznat emoce v psaném textu. Je tomu skutečně tak? A jak se řeší ironie?","['well', 'train', 'comput', 'count', 'emot', 'text', 'ironi']","['dostatek', 'trénovac', 'dat', 'uměj', 'stroj', 'rozpozn', 'emok', 'psa', 'text', 'tom', 'skutečn', 'řeš', 'ironi']"
4,4,"In this talk, we introduce the basic means of expressing emotions in Czech on all levels of the linguistic description.","V přednášce si představíme základní prostředky emocionálního vyjadřování v češtině na všech rovinách lingvistického popisu: zaměříme se na stránku lexikální (slovník emocionálních výrazů pro češtinu, evaluativní idiomy, vulgarismy), gramatickou (význam jednotlivých slovních druhů, typické syntaktické vzorce hodnotících vět) a především sémantickou a pragmatickou (ironie, sarkasmus). Popíšeme také základní metody automatického zpracovávání emocionálně laděných textů a jejich praktické aplikace.","['talk', 'introduc', 'basic', 'mean', 'express', 'emot', 'czech', 'level', 'linguist', 'descript']","['přednášk', 'představím', 'základn', 'prostředk', 'emocionáln', 'vyjadřován', 'česk', 'všech', 'rovin', 'lingvistick', 'popis', 'zaměřím', 'stránk', 'lexikáln', 'slovník', 'emocionáln', 'výraz', 'česk', 'evaluativn', 'idiom', 'vulgarism', 'gramatick', 'význam', 'jednotliv', 'slovn', 'druh', 'typick', 'syntaktick', 'vzork', 'hodnotíc', 'vět', 'předev', 'sémantick', 'pragmatick', 'ironi', 'sarkasm', 'popíšem', 'základn', 'metod', 'automatick', 'zpracováván', 'emocionáln', 'laděn', 'text', 'praktick', 'aplikak']"
5,5,"Texts in 107 languages from the W2C corpus (http://hdl.handle.net/11858/00-097C-0000-0022-6133-9), first 1,000,000 tokens per language, tagged by the delexicalized tagger described in Yu et al. (2016, LREC, Portorož, Slovenia).","Texty ve 107 jazycích z korpusu W2C (http://hdl.handle.net/11858/00-097C-0000-0022-6133-9), první 1000000 tokenů pro každý jazyk, označkované delexikalizovaným taggerem popsaným v Yu et al. (2016, LREC, Portorož, Slovenia).","['text', 'languag', 'w2c', 'corpu', 'http', 'first', 'token', 'per', 'languag', 'tag', 'delexic', 'tagger', 'describ', 'yu', 'et', 'al', 'lrec', 'portorož', 'slovenia']","['text', 'jazyc', 'korpus', 'w2c', 'http', 'token', 'jazyk', 'označkovan', 'delexikalizovan', 'tagger', 'popsan', 'yu', 'et', 'lrec', 'portorož', 'sloveni']"
6,6,"We present a novel dataset for natural language generation (NLG) in spoken dialogue systems which includes preceding context (user utterance) along with each system response to be generated, i.e., each pair of source meaning representation and target natural language paraphrase. We expect this to allow an NLG system to adapt (entrain) to the user’s way of speaking, thus creating more natural and potentially more successful responses. The dataset has been collected using crowdsourcing, with several stages to obtain natural user utterances and corresponding relevant, natural, and contextually bound system responses. The dataset is available for download under the Creative Commons 4.0 BY-SA license. ","Představujeme novou datovou sadu pro generování jazyka v hlasových dialogových systémech, která spolu s každou odpovědí systému k vygenerování (pár zdrojová sémantická reprezentace – cílová věta v přirozeném jazyce) uvádí i předcházející kontext (uživatelský dotaz). Očekáváme, že tento kontext dovolí generátorům jazyka adaptovat se na způsob vyjadřování uživatele a tím docílit přirozenějších a potenciálně úspěšnějších odpovědí. Datová sada byla vytvořena za pomoci crowdsourcingu v několika fázích, aby bylo možno získat přirozené uživatelské dotazy a odpovídající přirozené, relevantní a kontextově zapojené odpovědi systému. Datová sada je dostupná online pod otevřenou licencí Creative Commons 4.0 BY-SA.","['present', 'novel', 'dataset', 'natur', 'languag', 'gener', 'nlg', 'spoken', 'dialogu', 'system', 'includ', 'preced', 'context', 'user', 'utter', 'along', 'system', 'respons', 'gener', 'pair', 'sourc', 'mean', 'represent', 'target', 'natur', 'languag', 'paraphras', 'expect', 'allow', 'nlg', 'system', 'adapt', 'entrain', 'user', 'way', 'speak', 'thu', 'creat', 'natur', 'potenti', 'success', 'respons', 'dataset', 'collect', 'use', 'crowdsourc', 'sever', 'stage', 'obtain', 'natur', 'user', 'utter', 'correspond', 'relev', 'natur', 'contextu', 'bound', 'system', 'respons', 'dataset', 'avail', 'download', 'creativ', 'common', 'licens']","['představujem', 'nov', 'datov', 'sad', 'generován', 'jazyk', 'hlas', 'dialog', 'systém', 'každ', 'odpověd', 'syst', 'vygenerován', 'pár', 'zdroj', 'sémantick', 'reprezentak', 'cílov', 'vět', 'přiroze', 'jazyk', 'uvád', 'předcházejíc', 'kontext', 'uživatelsk', 'dotaz', 'očekávám', 'kontext', 'dovol', 'generátor', 'jazyk', 'adapt', 'způsob', 'vyjadřován', 'uživatel', 'docílit', 'přirozenějš', 'potenciáln', 'úspěšnějš', 'odpověd', 'datov', 'sad', 'vytvořen', 'pomok', 'crowdsourcing', 'několik', 'fáz', 'možn', 'získ', 'přirozen', 'uživatelsk', 'dotaz', 'odpovídajíc', 'přirozen', 'relevantn', 'kontext', 'zapojen', 'odpověd', 'syst', 'datov', 'sad', 'dostupn', 'onlin', 'otevřen', 'licenc', 'creativ', 'commons']"
7,7,"A dataset intended for fully trainable natural language generation (NLG) systems in task-oriented spoken dialogue systems (SDS), covering the English public transport information domain. It includes preceding context (user utterance) along with each data instance (pair of source meaning representation and target natural language paraphrase to be generated). Taking the form of the previous user utterance into account for generating the system response allows NLG systems trained on this dataset to entrain (adapt) to the preceding utterance, i.e., reuse wording and syntactic structure. This should presumably improve the perceived naturalness of the output, and may even lead to a higher task success rate. Crowdsourcing has been used to obtain natural context user utterances as well as natural system responses to be generated.","Datová sada pro plně trénovatelné generátory jazyka v hlasových dialogových systémech, která pokrývá doménu anglických informací o veřejné dopravě. Spolu s každou datovou položkou (pár zdrojové reprezentace významu a věty v přirozeném jazyce jako cíl generování) obsahuje i předcházející kontext (uživatelův dotaz, který má systém egnerovanou větou zodpovědět). Zohlednění formy předchozího dotazu pro generování umožní generátorům natrénovaným na této datové sadě adaptovat se na předchozí dotazy, tj. používat stejné shodné výrazy a syntaktické konstrukce jako uživatel dialogového systému. Předpokládáme, vygenerované věty tak budou vnímány jako přirozenější, což může vést i k úspěšnějším dialogům. Pro získání přirozených uživatelských dotazů i odpovědí systému byla použita metoda crowdsourcingu.","['dataset', 'intend', 'fulli', 'trainabl', 'natur', 'languag', 'gener', 'nlg', 'system', 'spoken', 'dialogu', 'system', 'sd', 'cover', 'english', 'public', 'transport', 'inform', 'domain', 'includ', 'preced', 'context', 'user', 'utter', 'along', 'data', 'instanc', 'pair', 'sourc', 'mean', 'represent', 'target', 'natur', 'languag', 'paraphras', 'gener', 'take', 'form', 'previou', 'user', 'utter', 'account', 'gener', 'system', 'respons', 'allow', 'nlg', 'system', 'train', 'dataset', 'entrain', 'adapt', 'preced', 'utter', 'reus', 'word', 'syntact', 'structur', 'presum', 'improv', 'perceiv', 'natur', 'output', 'may', 'even', 'lead', 'higher', 'task', 'success', 'rate', 'crowdsourc', 'use', 'obtain', 'natur', 'context', 'user', 'utter', 'well', 'natur', 'system', 'respons', 'gener']","['datov', 'sad', 'pln', 'trénovateln', 'generátor', 'jazyk', 'hlas', 'dialog', 'systém', 'pokrýv', 'domén', 'anglick', 'informac', 'veřejn', 'doprav', 'každ', 'datov', 'položk', 'pár', 'zdroj', 'reprezentak', 'význam', 'vět', 'přiroze', 'jazyk', 'cíl', 'generován', 'obsahuj', 'předcházejíc', 'kontext', 'uživatel', 'dotaz', 'sys', 'egnerovan', 'vět', 'zodpovědět', 'zohledněn', 'form', 'předchoz', 'dotaz', 'generován', 'umožn', 'generátor', 'natrénovan', 'dat', 'sad', 'adapt', 'předchoz', 'dotaz', 'tj', 'použív', 'stejn', 'shodn', 'výraz', 'syntaktick', 'konstrukk', 'uživatel', 'dialog', 'syst', 'předpokládám', 'vygenerovan', 'vět', 'vnímán', 'přirozenějš', 'vést', 'úspěšněj', 'dialog', 'získán', 'přirozen', 'uživatelsk', 'dotaz', 'odpověd', 'syst', 'použit', 'metod', 'crowdsourcing']"
8,8,This chapter describes the syntactic structure of Czech complex predicates with light verbs in active voice. Four types of Czech complex predicates are distinguished. Their rules based description and representation in the valency lexicon are proposed. ,Kapitola popisuje syntaktickou strukturu českých komplexních predikátů s funkčním slovesem v aktivu. Vymezuje čtyři typy komplexních predikátů. Navrhuje pravidlový popis daných jazykových jevů a jejich zachycení ve slovníku.,"['chapter', 'describ', 'syntact', 'structur', 'czech', 'complex', 'predic', 'light', 'verb', 'activ', 'voic', 'four', 'type', 'czech', 'complex', 'predic', 'distinguish', 'rule', 'base', 'descript', 'represent', 'valenc', 'lexicon', 'propos']","['kapitol', 'popisuj', 'syntaktick', 'struktur', 'česk', 'komplexn', 'predikát', 'funkč', 'sloves', 'aktiv', 'vymezuj', 'typ', 'komplexn', 'predikát', 'navrhuj', 'pravidl', 'popis', 'dan', 'jazyk', 'jev', 'zachycen', 'slovník']"
9,9,"In this paper, we focus on Czech complex predicates formed by a light verb and a predicative noun expressed as the direct object. Although Czech – as an inflectional language encoding syntactic relations via morphological cases – provides an excellent opportunity to study the distribution of valency complements in the syntactic structure with complex predicates, this distribution has not been described so far. On the basis of a manual analysis of the richly annotated data from the Prague Dependency Treebank, we thus formulate principles governing this distribution. In an automatic experiment, we verify these principles on well-formed syntactic structures from the Prague Dependency Treebank and the Prague Czech-English Dependency Treebank with very satisfactory results: the distribution of 97% of valency complements in the surface structure is governed by the proposed principles. These results corroborate that the surface structure formation of complex predicates is a regular process.","V tomto článku se zaměřujeme na české složené predikáty, které jsou tvořené lehkým slovesem a predikativním jménem vyjádřeným jako přímý objekt. Ačkoli čeština -- jakožto inflekční jazyk -- poskytuje výbornou příležitost pro studium distribuce valenčních doplnění složených predikátů, tato distribuce dosud nebyla poplsána. Na základě manuální analýzy bohatě anotovaných dat PDT formulujeme poučky řídicí tuto distribuci. V automatickém experimentu tyto poučky ověřujeme na korektních syntaktických strukturách PDT a PCEDT s velmi uspokojivými výsledky: distribuce 97% valenčních doplnění se řídí navrženými poučkami. Tyto výsledky dokládají, že vytváření povrchové struktury složených predikátů je pravidelný proces.","['paper', 'focu', 'czech', 'complex', 'predic', 'form', 'light', 'verb', 'predic', 'noun', 'express', 'direct', 'object', 'although', 'czech', 'inflect', 'languag', 'encod', 'syntact', 'relat', 'via', 'morpholog', 'case', 'provid', 'excel', 'opportun', 'studi', 'distribut', 'valenc', 'complement', 'syntact', 'structur', 'complex', 'predic', 'distribut', 'describ', 'far', 'basi', 'manual', 'analysi', 'richli', 'annot', 'data', 'pragu', 'depend', 'treebank', 'thu', 'formul', 'principl', 'govern', 'distribut', 'automat', 'experi', 'verifi', 'principl', 'syntact', 'structur', 'pragu', 'depend', 'treebank', 'pragu', 'depend', 'treebank', 'satisfactori', 'result', 'distribut', 'valenc', 'complement', 'surfac', 'structur', 'govern', 'propos', 'principl', 'result', 'corrobor', 'surfac', 'structur', 'format', 'complex', 'predic', 'regular', 'process']","['zaměřujem', 'česk', 'složen', 'predikát', 'tvořen', 'lehk', 'sloves', 'predikativ', 'jmén', 'vyjádřen', 'přím', 'objekt', 'česk', 'jakožt', 'inflekčn', 'jazyk', 'poskytuj', 'výborn', 'příležitost', 'studium', 'distribuk', 'valenčn', 'doplněn', 'složen', 'predikát', 'distribuk', 'dosud', 'poplsán', 'základ', 'manuáln', 'analýz', 'bohat', 'anotovan', 'dat', 'pdt', 'formulujem', 'poučk', 'řídic', 'distribuk', 'automatic', 'experiment', 'poučk', 'ověřujem', 'korektn', 'syntaktick', 'struktur', 'pdt', 'pcedt', 'vel', 'uspokojiv', 'výsledk', 'distribuk', 'valenčn', 'doplněn', 'říd', 'navržen', 'poučk', 'výsledk', 'dokládaj', 'vytvářen', 'povrch', 'struktur', 'složen', 'predikát', 'pravideln', 'pro']"
